id,name,type,region,locality,lat,lon
1,"The ""second"" home shopping store ""IJ Churin and Co. ""and store the Platonic brothers",architecture,Amur region,Blagoveshchensk,127.548877,49.811568
2,"""Town of security officers""",architecture,Sverdlovsk region,Ekaterinburg,60.621271,56.841798
3,"""Palace for the beloved""",architecture,Kursk region,Safonovka,60.621271,51.491293
4,"""The House with The Firebird"" (manor Zhelyabov LK)",architecture,Tomsk region,Tomsk,85.050946,56.469513
5,"""House with the ghosts""",architecture,Novosibirsk region,Novosibirsk,82.958761,55.041787
6,"""House-decanter""",architecture,Sverdlovsk region,Verkh-neyvinsky,60.131644,57.265584
7,"""Emelyanovsky number""",architecture,Yaroslavskaya oblast,Rostov,39.414526,57.185866
8,"""Myasnikovskaya» Hospital",architecture,Yaroslavskaya oblast,Rostov,39.414526,57.185866
9,"""The track Vejnbauma""",architecture,Belgorod region,Belgorod,36.587223,50.59566
10,"""Mansion Khomich""",architecture,Tomsk region,Tomsk,84.947649,56.48464
11,"""Gray Horse""",architecture,Primorsky Krai,Vladivostok,131.885485,43.115536
12,"""Photography"" IM Babykin",architecture,Kurgan region,Mound,65.341118,55.441004
13,"""School LN Tolstoy's ""in-house on Pyatnitskaya",architecture,Moscow,,Not found,
14,Avramievsky gate tower,architecture,Smolensk region,Smolensk,32.045251,54.782635
15,Administrative building distillery factory D. Smolin,architecture,Kurgan region,Mound,Not found,
16,Volgograd Region Administration (the building of Party Committee and Executive Committee),architecture,Volgograd region,Volgograd,44.516948,48.707067
17,Ekaterinburg City Administration,architecture,Sverdlovsk region,Ekaterinburg,61.077166,56.744732
18,Azov Gunpowder Cellar,architecture,Rostov region,Azov,39.408391,47.119291
19,Academy of Arts,architecture,St. Petersburg,St. Petersburg,30.345926,59.991093
20,Alexander Mariinsky five-class school,architecture,Irkutsk region,Irkutsk,104.281047,52.287054
21,Alekseevskaya women's gymnasium,architecture,Amur region,Blagoveshchensk,127.527173,50.29064
22,Anapa lighthouse,architecture,Krasnodar region,Anapa,37.304366,44.953155
23,The ensemble Alexander Garden,architecture,Kirov region,Kirov,51.802725,58.284554
24,Verkhotursk Kremlin ensemble,architecture,Sverdlovsk region,Verkhotur'e,60.807581,58.860518
25,The ensemble of the Church of Transfiguration,architecture,Kostroma region,Nicolo-Shanga,45.5395,58.452015
26,The ensemble of the government offices in Kaluga,architecture,Kaluga region,Kaluga,36.167539,54.53284
27,Ensemble Rogozhskaya Yamskaya Sloboda,architecture,Moscow,,37.681173,55.746512
28,Ensemble Trading Rows,architecture,Kostroma region,Soligalich,42.285973,59.077591
29,Ensemble Railway Hospital,architecture,Volgograd region,Volgograd,44.516948,48.707067
30,Ensemble factory settlement Kynovskogo plant,architecture,Perm,Kyn,Not found,
31,Ensemble merchant houses on the waterfront,architecture,Ivanovo region,Dance,Not found,
32,The ensemble of the first girls' school,architecture,Sverdlovsk region,Ekaterinburg,60.592336,56.886105
33,Ensemble Lenin area (Round Square),architecture,The Republic of Karelia,Petrozavodsk,34.362293,61.789836
34,"Ensemble sports complex stadium ""Dynamo""",architecture,Volgograd region,Volgograd,44.506204,48.711895
35,The ensemble of the Church of Constantine and Helen,architecture,Pskov region,Pskov,Not found,
36,"Pharmacy ""the arrow""",architecture,Kaluga region,Kaluga,36.261215,54.513845
37,Drugstore berms,architecture,Kirov region,Kirov,49.668014,58.603591
38,pharmacy Veyersberga,architecture,Sverdlovsk region,Ekaterinburg,60.597465,56.838011
39,pharmacy Kruger,architecture,Altai region,Barnaul,83.776856,53.346785
40,Pharmacy mining department,architecture,Sverdlovsk region,Ekaterinburg,60.449899,56.796382
41,Arakcheyev Cadet Corps,architecture,Nizhny Novgorod Region,Nizhny Novgorod,44.006516,56.326797
42,Arch of the 140th anniversary of the city - a resort Hot Key,architecture,Krasnodar region,Hot key,39.136426,44.634246
43,"Arch ""Golden Gate"" ( ""Altn Bosch"")",architecture,Republic of Kalmykia,Elista,44.269759,46.307743
44,Arch in honor of the 50th anniversary of the resort Hot Key,architecture,Krasnodar region,Hot key,39.136426,44.634246
45,triumphal Arch,architecture,Kabardino-Balkar Republic,,43.408274,43.494396
46,Arsenal. Izhevsk Kremlin,architecture,Udmurt republic,Izhevsk,53.180418,56.822306
47,Arsenal'na (Voljskaya) tower,architecture,Yaroslavskaya oblast,Yaroslavl,39.893804,57.626559
48,Arkhangelsk settlement,architecture,Mari El Republic,Yoshkar-Ola,47.902995,56.632818
49,"Archaeological complex ""Gnezdovo""",architecture,Smolensk region,,31.863863,54.782464
50,Bishops house,architecture,Perm,Permian,56.253967,58.006473
51,Bishops house,architecture,Penza region,Penza,45.004715,53.173479
52,Bishops House on the Pechora Compound,architecture,Pskov region,Pskov,Not found,
53,The architectural ensemble of the Cathedral Hill,architecture,Smolensk region,Smolensk,Not found,
54,The city's skyline Kyshtym,architecture,Chelyabinsk region,Argayash,Not found,
55,The architectural ensemble of the square named after Lenin,architecture,Rostov region,Volgodonsk,42.156436,47.515772
56,The architectural ensemble of the village Velikoretskoye,architecture,Kirov region,Velikoretskoye,49.16272,58.955449
57,The architectural ensemble of the central square,architecture,Kurgan region,Mound,Not found,
58,The architectural complex Lezgor,architecture,Republic of North Ossetia - Alania,Lezgor,43.770268,43.015099
59,The architectural complex of the Soviet area,architecture,Republic of Bashkortostan,Ufa,55.958727,54.735147
60,The architectural complex of the Suzdal Kremlin,architecture,Vladimir region,Suzdal,40.449457,56.419836
61,The architectural complex Aphids,architecture,Republic of North Ossetia - Alania,,43.892359,42.666152
62,The architectural complex of the village Galiat,architecture,Republic of North Ossetia - Alania,Galiat,43.847811,42.920194
63,The architectural complex of shops,architecture,Kirov region,Kirov,49.668014,58.603591
64,The architectural complex of shops in Kirov,architecture,Kirov region,Kirov,49.689313,58.521682
65,Astrakhan State Conservatory,architecture,Astrakhan region,Astrakhan,47.969722,46.436952
66,Astrakhan Kremlin,architecture,Astrakhan region,Astrakhan,47.948719,46.286977
67,Bazanov orphanage,architecture,Irkutsk region,Irkutsk,113.795679,57.820324
68,Baidar gates,architecture,Sevastopol,Orlinoe,33.77307,44.444772
69,bacteriological Institute,architecture,Kirov region,Kirov,49.668014,58.603591
70,Balga,architecture,Kaliningrad region,,19.975954,54.545219
71,Bank of Volga-Kama,architecture,Yaroslavskaya oblast,Rybinsk,38.858406,58.048454
72,Bank for Foreign Trade,architecture,Kirov region,Kirov,49.668014,58.603591
73,Manor House Lyakhov,architecture,Republic of Bashkortostan,Spartak,54.349764,54.18571
74,Tower complexes Vovnushki,architecture,The Republic of Ingushetia,,44.994852,42.800697
75,Tower apartment complex Huli,architecture,The Republic of Ingushetia,,44.804086,42.811544
76,Tower complex Bein,architecture,The Republic of Ingushetia,Bain,44.714281,42.831627
77,Tower complex Bâlgan,architecture,The Republic of Ingushetia,,44.789731,42.798586
78,Tower complex Gadaborš,architecture,The Republic of Ingushetia,,44.900017,42.821597
79,Tower complex Maps,architecture,The Republic of Ingushetia,,44.880371,42.827264
80,Tower complex Lyazhgi,architecture,The Republic of Ingushetia,Lyazhgi,44.734484,42.808773
81,Tower complex Motsar,architecture,Chechen Republic,,45.370285,42.890173
82,Tower complex Nij,architecture,The Republic of Ingushetia,Pyaling,44.98798,42.825227
83,Tower complex Ozdik,architecture,The Republic of Ingushetia,Lamey,44.900807,42.830173
84,Tower complex SALGA,architecture,The Republic of Ingushetia,,44.819986,42.797918
